video_id;sync_score;n_cuts;n_beats
705015658165210;1.0;5;43
745787649644781;1.0;1;21
715702134136175;1.0;4;32
722155003617221;1.0;2;20
719744808411950;1.0;1;21
730646079231087;1.0;1;15
727907887245538;1.0;5;20
747581657597562;1.0;1;22
741405950863003;1.0;1;25
716174441497977;1.0;3;31
707391631656603;1.0;1;15
724682588190413;1.0;1;39
692397613792844;1.0;1;20
747134837196233;1.0;1;12
753368007886623;1.0;1;24
689901579108621;1.0;1;22
683405637935599;1.0;1;10
717369514763965;1.0;2;27
721525221451471;1.0;1;17
756694184199664;1.0;3;27
707314670299527;1.0;1;26
758150757621961;1.0;1;28
721081723136878;1.0;2;24
729094793010885;1.0;1;12
759366121402715;1.0;1;24
704968939546031;1.0;1;22
758006594273073;1.0;1;19
740342176476992;1.0;1;17
720227703293854;1.0;2;25
719744546858503;1.0;1;11
726495819201736;1.0;1;18
710455292623174;1.0;2;17
721821906170703;1.0;1;17
733509159207785;1.0;1;22
730909159847272;1.0;3;12
720565882940345;1.0;4;21
731126396922064;1.0;3;16
732612317331172;1.0;3;17
729611560592764;1.0;1;23
746723108073569;1.0;2;17
721193249291429;1.0;4;27
725945569099607;1.0;1;19
729317626836166;1.0;3;12
723378458952371;1.0;1;24
721512456179944;1.0;2;20
724195687369857;1.0;1;26
725606681924762;1.0;1;17
726532662827475;1.0;2;23
711125488497174;1.0;2;21
725055565199316;1.0;1;30
719101267786970;1.0;1;12
723526612041492;1.0;1;11
732572481311534;1.0;1;17
757292272383643;1.0;1;23
729204848245658;1.0;8;15
758975472935015;1.0;5;39
737407261535635;1.0;1;51
727604155950047;1.0;2;15
737922773727109;1.0;2;19
727077826989972;1.0;2;15
711643919828595;1.0;1;34
729045710772633;1.0;1;3
716217490286525;1.0;1;14
716803850677267;1.0;6;18
739176980776445;1.0;1;11
705272783716550;1.0;1;27
713062075084267;1.0;1;36
731765304253330;1.0;1;11
703925971203811;1.0;3;26
706721721592527;1.0;1;33
756627074113446;1.0;2;24
736105745445450;1.0;1;30
716218368542338;1.0;1;28
694065300179113;1.0;1;22
698034216853584;1.0;1;37
757182177874659;1.0;1;22
722676652171921;1.0;1;7
706312102539485;1.0;2;15
713804331608760;1.0;1;35
718555510248741;1.0;1;26
710168593027629;1.0;4;10
737472720839441;1.0;2;16
744198285665981;1.0;1;18
734654106226707;1.0;1;25
720668238653111;1.0;2;26
734876626592781;1.0;1;28
725930784533260;1.0;2;48
721624067109773;1.0;1;14
706795992514147;1.0;1;27
751135787408228;1.0;1;16
736962301208717;1.0;1;17
737999418274142;1.0;1;28
724518252501693;1.0;1;11
691987235728897;1.0;1;33
745838026600484;1.0;3;41
727301608595431;1.0;1;25
745301678846545;1.0;1;26
716394295991689;1.0;2;7
708277253412651;1.0;1;22
721561106728670;1.0;2;22
725199610317899;1.0;1;15
740784395353958;1.0;2;12
731506800153384;1.0;3;18
741410922052351;1.0;4;16
725458878955993;1.0;5;18
745940343012209;1.0;2;13
725083219439288;1.0;1;26
745715509123825;1.0;2;10
723974839097470;1.0;2;8
741815721089669;1.0;1;22
718952821942559;1.0;4;29
749532209506523;1.0;2;19
747433149753383;1.0;1;13
747053238722340;1.0;2;36
749584945322865;1.0;2;22
692160409955311;1.0;2;37
745832861121329;1.0;1;33
701811122676077;1.0;1;22
748949942488482;1.0;3;20
719380871928776;1.0;1;17
732993324077552;1.0;3;37
731685192128800;1.0;3;30
751793910951244;1.0;2;21
744751283535085;1.0;4;20
757929912763736;1.0;1;32
733623812665170;1.0;2;22
756737277106012;1.0;1;30
741407368199289;1.0;2;34
716891605716659;1.0;1;9
753312440406298;1.0;1;21
726010491183094;1.0;1;23
756589057311516;1.0;3;48
753584606047697;1.0;3;30
755955723090377;1.0;1;9
730797144987099;1.0;1;20
758747841661873;1.0;3;29
726195819877553;1.0;1;16
748309800254710;1.0;1;17
746651491813772;1.0;1;14
748682272568479;1.0;4;28
707464402719010;1.0;2;15
698031945068786;1.0;1;25
732806621792998;1.0;1;18
722195310218477;1.0;1;16
707090793572291;1.0;4;31
707278018801838;1.0;9;38
753778729620925;1.0;2;12
706127323425961;1.0;2;17
707650278574272;1.0;1;18
693401232906759;1.0;1;21
759367306147642;1.0;2;31
707390658807924;1.0;5;22
705983246841258;1.0;1;14
732998588353954;1.0;1;18
708574881544931;1.0;5;22
708281581152980;1.0;1;17
733430935206240;1.0;1;9
708652723647131;1.0;2;25
708611145196586;1.0;3;21
706576995469556;1.0;1;10
758372065020073;0.9090909090909091;11;40
731883223784215;0.9090909090909091;11;22
722642859307575;0.8888888888888888;9;26
746537588677940;0.8888888888888888;9;21
721600727231134;0.8888888888888888;9;31
756326588862384;0.8888888888888888;9;14
